SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
17/01/2022   ;905015    ;AGROALIMENT BOISSO;11505.620           ;11548.410           ;-0.371              ;11548.420           ;11271.320           
17/01/2022   ;905016    ;PROD MENAGER SOIN ;2461.950            ;2484.420            ;-0.904              ;2484.430            ;2376.600            
17/01/2022   ;905017    ;INDUSTRIES        ;1312.400            ;1321.360            ;-0.678              ;1321.370            ;1300.390            
17/01/2022   ;905018    ;BATIM MATE CONSTRU;564.480             ;566.750             ;-0.401              ;570.010             ;559.830             
17/01/2022   ;905020    ;MATERIAUX DE BASE ;3493.790            ;3505.260            ;-0.327              ;3535.110            ;3451.520            
17/01/2022   ;905028    ;TUNINDEX20        ;3066.170            ;3073.410            ;-0.236              ;3073.410            ;3000.380            
18/01/2022   ;905001    ;TUNINDEX          ;7083.630            ;7085.850            ;-0.031              ;7099.650            ;6960.300            
18/01/2022   ;905002    ;STES FINANCIERES  ;4360.860            ;4364.010            ;-0.072              ;4364.020            ;4253.050            
18/01/2022   ;905003    ;BANQUES           ;3993.260            ;3995.550            ;-0.057              ;3995.550            ;3882.350            
18/01/2022   ;905004    ;ASSURANCES        ;12170.690           ;12333.620           ;-1.321              ;12468.030           ;12170.690           
18/01/2022   ;905005    ;SERVICES FINANCIER;5896.600            ;5820.860            ;1.301               ;5896.600            ;5762.320            
18/01/2022   ;905008    ;SERVICES AUX CONSO;2838.700            ;2843.000            ;-0.151              ;2843.000            ;2737.320            
18/01/2022   ;905009    ;DISTRIBUTION      ;4472.360            ;4479.140            ;-0.151              ;4479.140            ;4312.630            
18/01/2022   ;905013    ;BIENS CONSOMMATION;8858.090            ;8901.470            ;-0.487              ;8945.210            ;8703.700            
18/01/2022   ;905015    ;AGROALIMENT BOISSO;11466.110           ;11505.610           ;-0.343              ;11548.420           ;11271.320           
18/01/2022   ;905016    ;PROD MENAGER SOIN ;2433.810            ;2461.940            ;-1.143              ;2484.430            ;2376.600            
18/01/2022   ;905017    ;INDUSTRIES        ;1332.350            ;1312.400            ;1.520               ;1332.350            ;1300.390            
18/01/2022   ;905018    ;BATIM MATE CONSTRU;582.570             ;564.470             ;3.207               ;582.570             ;559.830             
18/01/2022   ;905020    ;MATERIAUX DE BASE ;3485.620            ;3493.790            ;-0.234              ;3535.110            ;3451.520            
18/01/2022   ;905028    ;TUNINDEX20        ;3066.580            ;3066.170            ;0.013               ;3073.410            ;3000.380            
19/01/2022   ;905001    ;TUNINDEX          ;7082.500            ;708741.000          ;-99.001             ;7099.650            ;6960.300            
19/01/2022   ;905002    ;STES FINANCIERES  ;4348.650            ;436104.000          ;-99.003             ;4364.020            ;4253.050            
19/01/2022   ;905003    ;BANQUES           ;3978.510            ;399344.000          ;-99.004             ;3995.550            ;3882.350            
19/01/2022   ;905004    ;ASSURANCES        ;12253.410           ;1216805.000         ;-98.993             ;12468.030           ;12170.690           
19/01/2022   ;905005    ;SERVICES FINANCIER;5892.250            ;589660.000          ;-99.001             ;5896.600            ;5762.320            
